Sample Name,Raman peak area of blanks,Total blank1 RU,Total Blank2 RU,Total sample RU after blank subtraction,Position in final database,M:C,BIX,HIX,FI,Ultra Violet Humic-like,Marine Humic-like,Visible Humic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Fulvic Acid-like,Optical Brighteners,Diesel Band II,Petroleum-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
C01_H_N_3_31_0100,36450.1932785342,79.1569092521573,65.0067311328395,52.5974688563885,47,1.17916274277254,0.933009182030342,0.908733890663425,1.53219222781868,0.0233343850966242,0.026810924882847,0.0227372557750655,0.0612455016177421,0.0384034433613974,0.0325598348886186,0.0119969159964041,0.0181299234748361,0.00856561895171008,0.0255186531363815,0.0616873723069236,0.0463904151835744,0.0345303764410999,0.0626019538925959,0.0770867026017757,0.0214955389732171,0.0347006671162225
CReefcrest_G_3_31_0100,36450.1932785342,79.1569092521573,65.0067311328395,19.1762007143716,48,1.54153163891541,0.994313212953499,0.822166410771428,1.55073372172095,0.0060494905969544,0.00764190959991472,0.00495734852726826,0.012289155427285,0.00861053647595728,0.025903996158551,0.00294943790518212,0.00376290025017942,0.00217720130536545,0.00716666504536503,0.0282103247810411,0.012008476203745,0.00860185715075393,0.0174548428732323,0.0133885726287784,0.00489382225314284,0.0096404669637243
CReefcrest_A_3_19_0100,36450.1932785342,79.1569092521573,65.0067311328395,25.4940796406039,49,1.39951584759922,1.02978130351216,1.0047969611871,1.57211945064061,0.00809401016388989,0.0111300889183987,0.00795281378020241,0.0212495330749836,0.0179257386119144,0.014756453188248,0.00399469668136458,0.00633845105258411,0.00282746798063156,0.0100037409221984,0.024365299451879,0.0199880136276339,0.0151862188762342,0.023229957935788,0.0136475934294814,0.00692342662748968,0.010668540853437
C20_L_N_3_30_1900,36504.8341068739,64.909428358463,70.044773550001,54.2137077172991,50,1.52332444481163,0.880988595841704,2.39464392138441,1.61667639979724,0.0296379723987029,0.0405701888021091,0.0266326644598197,0.0266683456561722,0.0230857146925798,0.0124880262171907,0.0130384119948173,0.020851059538405,0.00983747843548827,0.0279714604191066,0.0258213169295909,0.0704336747523961,0.0177464322770378,0.0314667672482437,0.0348682232162639,0.0245618252848879,0.0173995945418506
CPitBottom_C_3_30_1900,36504.8341068739,64.909428358463,70.044773550001,57.5891424956391,51,1.29928733361847,1.07096188692046,0.412848555587723,1.74279200378683,0.0205372146586559,0.027492324168007,0.0211595414321803,0.110206368964652,0.0613950726198236,0.0319992233230203,0.0083003121627367,0.0162082629800301,0.00616222889879512,0.018416836016961,0.0800832042792624,0.0411866105680831,0.0685940897891823,0.108672314217795,0.104527598087294,0.0138928777828517,0.0554220656864811
C15_L_D_3_30_0700,36504.8341068739,64.909428358463,70.044773550001,59.0411746662275,52,1.27376966370581,0.878886973442366,0.459059125352317,1.61289665145686,0.0222343703914333,0.0274496402245307,0.021549924610915,0.0937102282989637,0.0956866847739781,0.0545618542497793,0.010193437854485,0.0174078848763459,0.00737572963646643,0.0216562827740574,0.0758757617953351,0.0434149656961093,0.0646279763638889,0.0978467051146814,0.0991125032202881,0.0169132237903661,0.0738847174816836
C13_H_D_3_30_1300,36504.8341068739,64.909428358463,70.044773550001,60.3166327144227,53,1.2553435895461,0.743607755871839,1.63769127006597,1.55327785504818,0.0317414476705019,0.0368427444158172,0.0293487334643885,0.0477109836060842,0.0587432844199246,0.0404835186893314,0.0148692312353517,0.0230826638441887,0.0107368545025811,0.0322687495123869,0.0276038498072753,0.0651346353961876,0.0363995400903025,0.0376502284337634,0.0463999739998437,0.0284973775544992,0.0433553511775193
C19_L_D_3_30_0700,36504.8341068739,64.909428358463,70.044773550001,85.0469989258601,54,1.36531154422891,0.88623093346547,0.434547476629565,1.75267395500739,0.0263000239698475,0.0337309802327156,0.0247057020614045,0.0760204138124335,0.0941569452477434,0.0657867398582706,0.0110183658513001,0.0189730327383074,0.00842153736030325,0.0255151390577132,0.0932861979750135,0.0588016337708677,0.0117200626802186,0.138946566988027,0.113202671194572,0.0170814519307987,0.10993199745044
C03_H_D_3_30_1300,36504.8341068739,64.909428358463,70.044773550001,48.9617503714966,55,1.38021044675188,0.890512648697761,0.468971937353242,1.69160947959435,0.0163647484054934,0.0201947152431027,0.0146316203377738,0.0739224595836687,0.0921067931316278,0.0340289900526743,0.00690877468457567,0.0110940509552299,0.00492983531027177,0.0153092692875664,0.0624884442749759,0.0343602086875565,0.0515534746844774,0.0828755859364779,0.0706972051660599,0.0107499500860871,0.0728450004758382
C07_H_D_3_30_1300,36504.8341068739,64.909428358463,70.044773550001,32.8826835331645,56,1.31228629482394,0.828645156135765,0.567445393356212,1.5669550957753,0.0109289875779147,0.0137056329668834,0.0104440875599651,0.0365480629185306,0.0715501122123168,0.0242350764288944,0.0049561704580023,0.00772637109382443,0.00362415685179242,0.0117427975015425,0.0305981857147309,0.0228076188882671,0.0285330173920256,0.0320212076487223,0.0327024366360699,0.00847734684191505,0.04585718050096
C_SeepE_3_30_1600,36874.5862436541,69.3424143555338,74.9856848168881,40.7043099816272,57,1.11720253911767,0.780900700759514,2.76466542708334,1.54621470580163,0.0229848862879632,0.0251534033542278,0.0225146313882289,0.0110494272505116,0.0191235197959888,0.00456874961743272,0.0118261050917638,0.0177671970790481,0.00830902316140966,0.0252041364585393,0.0135797468523582,0.0456810084136763,0.0109516026909473,0.0200416997077217,0,0.0246101976034325,0.0175452274764922
