Site,Jan2016,May2016,July2016,July2019,Aug2020,May2021,Latitude,Longitude,Distsance.to.crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon
12,Yes,Yes,Yes,NA,Yes,NA,-17.59364896,-149.8482386,309.66,800.92,340.23,162.79,800.92,Vai'anae/Atiha,SW,Reef pass,Vaianae
13,Yes,Yes,Yes,NA,Yes,Yes,-17.5676907,-149.8705731,1139.83,186.07,1003.2,55.63,2585.05,Vai'anae/Atiha,SW,Fringing reef,Vaianae
14,Yes,Yes,Yes,NA,Yes,Yes,-17.58281082,-149.8662589,438.97,916.93,1695.09,242.68,1458.68,Vai'anae/Atiha,SW,Mid lagoon,Vaianae
16,Yes,Yes,Yes,NA,Yes,Yes,-17.5869498,-149.8426075,1190.12,149.86,1101.59,315.22,149.86,Vai'anae/Atiha,SW,Bay,Maatea
17,Yes,NA,Yes,NA,Yes,Yes,-17.59328585,-149.8390346,683.48,215.33,607.29,349.81,768.71,Vai'anae/Atiha,SW,Fringing reef,Maatea
18,Yes,NA,Yes,NA,NA,NA,-17.59567268,-149.8408034,354.18,539.29,305.04,106.85,940.67,Vai'anae/Atiha,SW,Reef pass,Maatea
19,Yes,NA,Yes,NA,Yes,Yes,-17.59828926,-149.8398006,193.07,735.46,334.74,282.26,1236.87,Vai'anae/Atiha,SW,Reef crest,Maatea
20,Yes,NA,Yes,NA,NA,Yes,-17.60238365,-149.8303391,222.85,1215.01,1419.62,1366.33,2079.74,Vai'anae/Atiha,SW,Reef crest,Maatea
21,Yes,Yes,Yes,NA,NA,Yes,-17.59344385,-149.826245,1240.68,142.84,1829.11,1610.68,1925.87,Vai'anae/Atiha,SW,Fringing reef,Maatea
22,Yes,Yes,Yes,Yes,Yes,Yes,-17.60326945,-149.810896,238.14,1246.02,3451.57,865.13,1246.02,Ma'atea,SW,Reef crest,Maatea
23,Yes,NA,Yes,NA,NA,NA,-17.5924521,-149.8151988,1379.78,115.13,3586.43,209.77,450.28,Ma'atea,SW,Fringing reef,Maatea
24,Yes,Yes,Yes,NA,Yes,Yes,-17.59325316,-149.8095427,1244.37,153.45,3031.16,168.45,153.45,Ma'atea,SW,Fringing reef,Maatea
25,Yes,Yes,Yes,NA,Yes,Yes,-17.59436904,-149.8067542,1115.81,313.51,2895.1,119.94,313.51,Ma'atea,SW,Fringing reef,Maatea
26,Yes,Yes,Yes,NA,Yes,Yes,-17.59146245,-149.8037116,1023.71,172.28,2420.52,113.71,172.28,Ma'atea,SE,Fringing reef,Maatea
27,Yes,Yes,Yes,Yes,Yes,Yes,-17.59423829,-149.7964097,184.21,996.38,2225.84,450.33,996.38,Ma'atea,SE,Reef crest,Maatea
28,Yes,Yes,Yes,NA,NA,Yes,-17.59882126,-149.8193942,695.02,685.78,4218.68,838.91,1176.93,Ma'atea,SW,Mid lagoon,Maatea
29,Yes,Yes,Yes,NA,NA,Yes,-17.59742064,-149.8283843,789.87,623.66,5084.49,1653.55,1930.09,Ma'atea,SW,Mid lagoon,Maatea
30,Yes,Yes,Yes,NA,Yes,Yes,-17.59837987,-149.8107668,716.16,718.52,3507.52,389.04,718.52,Ma'atea,SW,Mid lagoon,Maatea
31,Yes,Yes,Yes,Yes,Yes,Yes,-17.59795985,-149.8038875,661.3,783.44,2988.97,212.1,783.44,Ma'atea,SW,Mid lagoon,Maatea
32,Yes,Yes,Yes,NA,Yes,Yes,-17.59291001,-149.7998923,576.01,609.09,2294.73,76.72,609.09,Ma'atea,SE,Mid lagoon,Maatea
