Site,Year,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
116,2021,0.01168355,0.042121894,0.008560118,0.013179601,0.025630694,0.036677471,1.539651759,0.507361017,0.628220726,1.614643007
117,2021,0.007908854,0.029572084,0.007001467,0.012011773,0.029674379,0.028319322,1.715608027,0.536997206,0.914394957,1.379848345
118,2021,0.009238407,0.040139055,0.008273523,0.011210954,0.023663861,0.006969954,1.355039929,0.523834889,0.790855362,1.650819405
119,2021,0.006849454,0.039269895,0.006801297,0.008614298,0.025385581,0.004969074,1.266566807,0.408746511,0.728307711,1.541489923
120,2021,0.007572919,0.037136046,0.007389487,0.010612123,0.023874413,0.017016354,1.436110863,0.632137961,0.722938949,1.598073088
121,2021,0.010429239,0.05265355,0.011452229,0.01216206,0.027206995,0.016001454,1.06198194,0.497348142,0.700929577,1.659342709
122,2021,0.007825533,0.037585468,0.006602065,0.010537625,0.020348492,0,1.596110472,0.470870119,0.677318605,1.413727749
123,2021,0.009972702,0.047120338,0.009397264,0.012913062,0.032871406,0.005977369,1.374129994,0.481278881,0.955612025,1.361992011
125,2021,0.013724291,0.041342767,0.013208379,0.016531322,0.034548065,0.015392199,1.251578358,0.77608184,0.732521212,1.757806274
126,2021,0.030173228,0.053422034,0.02695547,0.033315831,0.043397428,0.031305404,1.235958083,1.159500623,0.67008421,1.628360567
127,2021,0.01206284,0.042413911,0.01062782,0.015733178,0.039609848,0.011100291,1.480376816,0.582528071,0.820828524,1.607052241
128,2021,0.007069253,0.006146779,0.006750958,0.008671181,0.009836316,0.001476772,1.284437194,0.628646499,0.671445458,1.668157621
129,2021,0.017850163,0.018975541,0.016496357,0.01936651,0.016455325,0.01743927,1.173987047,1.529565665,0.68191258,1.638806706
130,2021,0.008082255,0.005553506,0.006350211,0.009770464,0.01500449,0,1.538604717,0.562113359,0.686343302,1.522846676
131,2021,0.010482191,0.002667242,0.009421961,0.012776422,0.012238532,0.007596906,1.356025678,0.646966181,0.777407489,1.586807386
132,2021,0.011627065,0.01176533,0.010146294,0.014497577,0.019035847,0.023280558,1.428854465,0.749380525,0.734437544,1.582921452
133,2021,0.012651532,0,0.010711319,0.01450064,0.015558964,0.009996005,1.353767917,1.236364885,0.73352334,1.699693486
134,2021,0.010243883,0.039432297,0.008567578,0.014989818,0.032650005,0.009780239,1.749597998,0.562346245,0.983446112,1.889404591
136,2021,0.020431947,0.037525934,0.018282549,0.024886895,0.043571273,0.044882403,1.361237725,0.667454105,0.784610651,1.816251589
137,2021,0.008253175,0.021655835,0.007581547,0.011188923,0.018931638,0.021358414,1.475809941,0.557642772,0.782583128,1.689266847
138,2021,0.012031157,0.03607346,0.011223131,0.013950667,0.031899882,0.014806856,1.243028081,0.573290978,0.727716898,1.745261526
139,2021,0.012658677,0.013991733,0.011600758,0.014301644,0.018296454,0.008296566,1.232819731,1.186873094,0.706743273,1.623807274
140,2021,0.016472264,0.018119885,0.015920023,0.017961847,0.024625777,0.015979342,1.128255103,1.201204365,0.818322032,1.617632534
141,2021,0.017577286,0.032809821,0.017243044,0.022097195,0.034015311,0.024740975,1.281513604,0.872540757,0.781740363,1.648618915
142,2021,0.013392395,0.039615736,0.012262944,0.015501641,0.030243238,0.040002441,1.264104359,0.812436117,0.824907814,1.615441851
143,2021,0.017158066,0.032770463,0.016297553,0.019815453,0.041566861,0.039809651,1.215854487,0.826564207,0.789137188,1.640180793
144,2021,0.013957275,0.02721567,0.012783067,0.017812592,0.06956061,0.23790278,1.393452198,0.613527613,1.333056004,1.807340653
145,2021,0.013168312,0.030126894,0.01239669,0.014631448,0.028169833,0.043454387,1.180270525,0.894556067,0.788854007,1.557809726
146,2021,0.010043305,0.028546794,0.009008046,0.012433587,0.024913948,0.026343195,1.380275691,0.629784091,0.730309897,1.892251138
147,2021,0.008728225,0.030224552,0.007052813,0.010663446,0.026003766,0.018034334,1.511942391,0.496758457,0.99546346,1.763334336
148,2021,,,,,,,,,,
149,2021,0.01402946,0.057849986,0.013118009,0.016732465,0.074691845,0.101177945,1.275533858,0.450605845,1.061205551,1.737029904
150,2021,0.0151112,0.033875405,0.010581849,0.0153607,0.036197648,0.046297126,1.451608387,0.392851181,0.537232794,1.62965396
151,2021,0.006842031,0.017317765,0.005218583,0.008710987,0.016407529,0.012281786,1.669224408,0.538394322,0.762962428,1.355414658
152,2021,0.010081945,0.033746098,0.008881293,0.015161797,0.030770093,0.024655121,1.707160921,0.539059754,0.740327152,1.721113695
153,2021,0.010371074,0.02312453,0.009148122,0.013662164,0.027303279,0.009519954,1.493439204,0.656561634,0.790881097,1.657536167
154,2021,0.010299449,0.028359338,0.008883663,0.013213948,0.017319587,0.018251307,1.487443521,0.825232121,0.672450882,1.749209367
155,2021,0.009864498,0.035385184,0.008649861,0.011475818,0.039160149,0.024733694,1.326705575,0.464653463,0.691143943,1.673900381
156,2021,0.032977214,0.065195875,0.024828352,0.035743527,0.052542576,0.051280035,1.439625408,1.282480375,0.554776479,1.554421971
157,2021,0.018927387,0.025121335,0.018445744,0.021542066,0.0319611,0.032415159,1.16786107,1.359459119,0.73373362,1.602523403
158,2021,0.016280528,0.043216814,0.009432171,0.016248698,0.029886895,0.023597506,1.722689042,0.455621424,0.537852757,1.531489572
159,2021,0.009322626,0.036498202,0.008412906,0.01181083,0.019766868,0.025129877,1.40389425,0.608777842,0.690795686,1.746503391
160,2021,0.020357832,0.067879408,0.020430368,0.030159271,0.082636667,0.016821154,1.47619813,1.006058187,1.544554114,1.792885777
161,2021,0.008885126,0.037518536,0.007254699,0.011405643,0.027877805,0.014292309,1.572173159,0.463779808,0.732403097,1.651101171
162,2021,0.014982378,0.036925232,0.013588902,0.016812351,0.033460288,0.026479644,1.237211955,1.009654483,0.699306517,1.560445229
163,2021,0.008077727,0.034759807,0.005823483,0.009997076,0.017609789,0.007829088,1.716683352,0.542854741,0.679109359,1.612741954
164,2021,0.008028984,0.025400605,0.006918329,0.009799735,0.018885072,0.001349502,1.416488735,0.558906597,0.755199455,1.620856012
165,2021,0.016918504,0.038984031,0.014733424,0.020033759,0.042691156,0.032242079,1.359749095,0.756725345,0.782335446,1.663054346
